,edge_sx,edge_dx,n_lambdas,n_nonzeros,mean_lambda,var_lambda,mean_count,var_count,F
0,-10.527864025395326,-9.73680539927973,339342185.0000001,2297,3.0324947644006313e-05,1.0844363124176822e-11,8.145170633589216e-06,1.1486863876792588e-05,1.410265487264288
1,-10.666115700735284,-10.532300334839167,503914185.0000001,2701,2.4795379710073008e-05,1.0519608555185338e-12,6.358225458566917e-06,8.755418600184136e-06,1.3770221904330942
2,-10.759965738982432,-10.66857650383464,569493910.0000002,5040,2.2072022635203263e-05,3.29488527323972e-13,1.0511086940332685e-05,1.4402150640440689e-05,1.3701865841950995
3,-10.838566985669653,-10.760890579055268,607203625.0000002,2358,2.0371327277939357e-05,2.006283578217738e-13,4.573424606943015e-06,6.233472831457265e-06,1.3629770175648543
4,-10.903458197292316,-10.83873016163662,623111195.0000002,8082,1.894136514386535e-05,1.3602265107164033e-13,1.5379277530072294e-05,2.1060210000533573e-05,1.369388765065866
5,-10.960739186256497,-10.90487026061793,625343455.0000002,9591,1.7863955273999594e-05,8.719666944348004e-14,1.8314735540008164e-05,2.5347335315652824e-05,1.3839858715450966
6,-11.021050619275726,-10.9607850440027,636703365.0000002,10452,1.6808807733398846e-05,7.093879974710751e-14,1.9454899535516035e-05,2.6594423624821657e-05,1.3669782002900202
7,-11.07309558456151,-11.022085600892844,628113830.0000002,11334,1.5911622391055354e-05,6.25696149245948e-14,2.1464262297806745e-05,2.952603450685952e-05,1.3755904598364381
8,-11.128495538234606,-11.073108962502062,621238490.0000002,13412,1.5100179608736134e-05,5.0424454927676715e-14,2.5616571181866073e-05,3.523218971491319e-05,1.375367117416149
9,-11.17850899511781,-11.12873299949138,645359735.0000002,8518,1.4327787705361955e-05,5.0362307133536046e-14,1.570596901277083e-05,2.1751962576806998e-05,1.3849487738551978
10,-11.236550609751813,-11.178917488086704,615273815.0000002,16949,1.3583183131948788e-05,5.115636033655826e-14,3.2681384303669726e-05,4.4782245190662654e-05,1.3702676950094121
11,-11.29545626140007,-11.23680299361845,716698215.0000002,16577,1.2814134045913715e-05,5.533401189369945e-14,2.7339261616550828e-05,3.722831138139206e-05,1.361716049548336
12,-11.350209612051454,-11.295514415364142,624724275.0000002,15070,1.209849156759522e-05,4.1768398867570776e-14,2.8785499010743567e-05,3.997680792918009e-05,1.388782868502339
13,-11.407873150363535,-11.351243599055152,667192410.0000002,14487,1.140220670531314e-05,3.207570364063346e-14,2.5854610666209457e-05,3.573415052483285e-05,1.3821190716849474
14,-11.471684687076124,-11.408023073088753,620460130.0000002,12635,1.0779424549350942e-05,3.2656219135906436e-14,2.423362803344027e-05,3.3403654193169314e-05,1.378400878086393
15,-11.53413152186597,-11.47168906615158,636402870.0000002,13108,1.012805796914168e-05,3.4406891731172896e-14,2.4291216662803538e-05,3.307122810756903e-05,1.36144798888576
16,-11.599035902824092,-11.534822535313324,634170275.0000002,11751,9.475271138206749e-06,3.251904946596828e-14,2.1875828222948475e-05,2.9857433031901494e-05,1.3648595470347038
17,-11.672881895520074,-11.599451819580311,577256565.0000002,11631,8.8514370293805e-06,3.327613503289528e-14,2.3861140496513875e-05,3.27820807662028e-05,1.3738689790505254
18,-11.752298782450008,-11.673215391246137,552088680.0000002,9620,8.198140973335114e-06,4.539702678430339e-14,2.0719497454648037e-05,2.8522162399106985e-05,1.3765856250201445
19,-11.85546959410516,-11.752657197105576,497924375.0000002,4911,7.489540925626305e-06,4.2503380115022173e-14,1.164433856044906e-05,1.5789410763682783e-05,1.355973174363842
20,-12.04749248652811,-11.8560106848273,405498535.0000001,9029,6.624279095933103e-06,1.2342703889459735e-13,2.6490847864592153e-05,3.652717373026325e-05,1.378860117786516
21,-inf,-12.048033577250251,255476109.00000006,2723,4.720428130351743e-06,2.883525007915459e-12,1.2682203485414753e-05,1.7426126173155026e-05,1.3740611645027647
