,label,n_lambdas,n_nonzeros,log_lambda,sum_counts,sum_counts_2,mean_lambda,mean_count,var_count
0,"(1.0, 1.0, 1.0, 1.0, 2.0, 6.0, 6.0, 7.0)",1372031325.0000002,1,-26.14029174720902,1.0,1.0,4.440332978187995e-12,7.28846333009197e-10,7.288463324779801e-10
1,"(1.0, 1.0, 1.0, 1.0, 3.0, 4.0, 12.0, 14.0)",1324719899.9999998,1,-26.07653788243691,1.0,1.0,4.732640223166938e-12,7.548765591880972e-10,7.548765586182585e-10
2,"(1.0, 1.0, 1.0, 1.0, 3.0, 6.0, 8.0, 8.0)",1025080875.0,1,-25.46023896836435,1.0,1.0,8.765136990929636e-12,9.755327841815407e-10,9.755327832298764e-10
3,"(1.0, 1.0, 1.0, 1.0, 3.0, 6.0, 8.0, 11.0)",2050161750.0,1,-25.760673455412373,1.0,1.0,6.490552515920596e-12,4.877663920907704e-10,4.877663918528543e-10
4,"(1.0, 1.0, 1.0, 1.0, 3.0, 9.0, 14.0, 14.0)",555527700.0000001,1,-26.15157777834032,1.0,1.0,4.390500973682669e-12,1.8000902565254618e-09,1.8000902532851369e-09
5,"(1.0, 1.0, 1.0, 1.0, 8.0, 9.0, 11.0, 14.0)",1960686000.0,1,-26.115887489191643,1.0,1.0,4.550029091764915e-12,5.100255726822143e-10,5.100255724220882e-10
6,"(1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 8.0, 13.0)",1777688640.0000002,1,-25.69093738810824,1.0,1.0,6.959333636080433e-12,5.625282051642068e-10,5.625282048477689e-10
7,"(1.0, 1.0, 1.0, 2.0, 2.0, 7.0, 7.0, 11.0)",2460194100.0000014,1,-25.85619900173308,1.0,1.0,5.8992316534089335e-12,4.064719934089751e-10,4.064719932437556e-10
8,"(1.0, 1.0, 1.0, 2.0, 3.0, 4.0, 4.0, 8.0)",4920388200.000003,1,-25.836292642999997,1.0,1.0,6.017840493343055e-12,2.0323599670448755e-10,2.0323599666318268e-10
9,"(1.0, 1.0, 1.0, 2.0, 3.0, 4.0, 6.0, 11.0)",9840776400.000006,1,-26.10120014156511,1.0,1.0,4.6173501242567e-12,1.0161799835224378e-10,1.0161799834191756e-10
10,"(1.0, 1.0, 1.0, 2.0, 3.0, 4.0, 7.0, 8.0)",9840776400.000006,1,-25.59678518849389,1.0,1.0,7.646407482716426e-12,1.0161799835224378e-10,1.0161799834191756e-10
11,"(1.0, 1.0, 1.0, 2.0, 3.0, 4.0, 7.0, 12.0)",7948319400.000001,1,-25.982931152620147,1.0,1.0,5.197043796769601e-12,1.2581275986468284e-10,1.2581275984885398e-10
12,"(1.0, 1.0, 1.0, 2.0, 3.0, 4.0, 11.0, 13.0)",6888543480.000001,1,-26.029686500293884,1.0,1.0,4.9596472320387026e-12,1.4516856907463402e-10,1.451685690535601e-10
13,"(1.0, 1.0, 1.0, 2.0, 3.0, 6.0, 7.0, 9.0)",9840776400.000006,1,-26.206118319145467,1.0,1.0,4.15745370524025e-12,1.0161799835224378e-10,1.0161799834191756e-10
14,"(1.0, 1.0, 1.0, 2.0, 3.0, 6.0, 8.0, 8.0)",4100323500.0,1,-25.42246543394888,1.0,1.0,9.102559902950567e-12,2.438831960453852e-10,2.438831959859062e-10
15,"(1.0, 1.0, 1.0, 2.0, 4.0, 4.0, 4.0, 8.0)",2797867800.0000014,1,-26.07309404883488,1.0,1.0,4.748966745370659e-12,3.5741502868720226e-10,3.574150285594568e-10
16,"(1.0, 1.0, 1.0, 2.0, 4.0, 4.0, 7.0, 11.0)",8393603400.000004,1,-26.1340210813768,1.0,1.0,4.468264304961719e-12,1.1913834289573409e-10,1.1913834288154013e-10
17,"(1.0, 1.0, 1.0, 2.0, 4.0, 4.0, 8.0, 14.0)",6078126600.000004,1,-25.889419789730063,1.0,1.0,5.7064740365509956e-12,1.6452437828458515e-10,1.6452437825751688e-10
18,"(1.0, 1.0, 1.0, 2.0, 4.0, 6.0, 7.0, 11.0)",16787206800.000008,1,-26.098494092893887,1.0,1.0,4.629861819418095e-12,5.956917144786704e-11,5.956917144431855e-11
19,"(1.0, 1.0, 1.0, 2.0, 4.0, 7.0, 11.0, 11.0)",7235865000.000003,1,-26.056155347856617,1.0,1.0,4.830093221867591e-12,1.3820047775905157e-10,1.382004777399522e-10
20,"(1.0, 1.0, 1.0, 2.0, 6.0, 6.0, 8.0, 8.0)",3617932500.0000014,1,-25.62373985130085,1.0,1.0,7.443054120109943e-12,2.7640095551810314e-10,2.7640095544170567e-10
21,"(1.0, 1.0, 1.0, 2.0, 6.0, 6.0, 8.0, 9.0)",7235865000.000003,1,-26.268599970435343,1.0,1.0,3.905637981506689e-12,1.3820047775905157e-10,1.382004777399522e-10
22,"(1.0, 1.0, 1.0, 2.0, 6.0, 7.0, 8.0, 8.0)",7235865000.000003,1,-25.419759385277658,1.0,1.0,9.127225230818114e-12,1.3820047775905157e-10,1.382004777399522e-10
23,"(1.0, 1.0, 1.0, 2.0, 6.0, 7.0, 8.0, 11.0)",14471730000.000006,1,-25.72019387232568,2.0,4.0,6.758677559354076e-12,1.3820047775905157e-10,2.7640095549900375e-10
24,"(1.0, 1.0, 1.0, 2.0, 6.0, 7.0, 14.0, 14.0)",4675482000.000001,1,-25.809011308204425,1.0,1.0,6.184275172100831e-12,2.138816917699608e-10,2.138816917242154e-10
25,"(1.0, 1.0, 1.0, 2.0, 7.0, 7.0, 8.0, 8.0)",3617932500.0000014,1,-25.21577891925446,1.0,1.0,1.119248081093525e-11,2.7640095551810314e-10,2.7640095544170567e-10
26,"(1.0, 1.0, 1.0, 2.0, 7.0, 7.0, 11.0, 11.0)",3617932500.0000014,1,-25.816647893350517,1.0,1.0,6.137228295559042e-12,2.7640095551810314e-10,2.7640095544170567e-10
27,"(1.0, 1.0, 1.0, 2.0, 7.0, 9.0, 9.0, 12.0)",5065105500.0,1,-26.752852355587613,1.0,1.0,2.4064888111965587e-12,1.974292539415023e-10,1.97429253902524e-10
28,"(1.0, 1.0, 1.0, 2.0, 8.0, 9.0, 12.0, 12.0)",3267810000.0000005,1,-26.35534543451728,1.0,1.0,3.581120289224671e-12,3.0601534360932854e-10,3.0601534351568316e-10
29,"(1.0, 1.0, 1.0, 2.0, 8.0, 11.0, 13.0, 13.0)",3267810000.0000005,1,-25.78114705580643,1.0,1.0,6.359018618141777e-12,3.0601534360932854e-10,3.0601534351568316e-10
30,"(1.0, 1.0, 1.0, 3.0, 3.0, 6.0, 7.0, 8.0)",4920388200.000003,1,-25.362771419313702,1.0,1.0,9.662473744137036e-12,2.0323599670448755e-10,2.0323599666318268e-10
31,"(1.0, 1.0, 1.0, 3.0, 3.0, 7.0, 12.0, 14.0)",2649439799.9999995,1,-25.60077011281805,1.0,1.0,7.615997758013165e-12,3.774382795940486e-10,3.7743827945158895e-10
32,"(1.0, 1.0, 1.0, 3.0, 4.0, 4.0, 6.0, 11.0)",8393603400.000004,1,-26.139514766702725,1.0,1.0,4.443784371012344e-12,1.1913834289573409e-10,1.1913834288154013e-10
33,"(1.0, 1.0, 1.0, 3.0, 4.0, 4.0, 7.0, 13.0)",6779448900.000001,1,-25.90635940444557,2.0,4.0,5.610622699387041e-12,2.950092300275321e-10,5.900184599680338e-10
34,"(1.0, 1.0, 1.0, 3.0, 4.0, 4.0, 11.0, 13.0)",6078126600.000004,1,-26.0680011254315,1.0,1.0,4.773214562977537e-12,1.6452437828458515e-10,1.6452437825751688e-10
35,"(1.0, 1.0, 1.0, 3.0, 4.0, 6.0, 8.0, 12.0)",12156253200.000008,1,-25.846926023212752,1.0,1.0,5.954189519563844e-12,8.226218914229258e-11,8.22621891355255e-11
36,"(1.0, 1.0, 1.0, 3.0, 4.0, 6.0, 8.0, 13.0)",12156253200.000008,1,-25.73203964990056,1.0,1.0,6.6790880984911225e-12,8.226218914229258e-11,8.22621891355255e-11
37,"(1.0, 1.0, 1.0, 3.0, 4.0, 6.0, 9.0, 11.0)",14471730000.000006,1,-26.40607466526901,1.0,1.0,3.4039837968229535e-12,6.910023887952579e-11,6.910023887475094e-11
38,"(1.0, 1.0, 1.0, 3.0, 4.0, 7.0, 7.0, 11.0)",8393603400.000004,1,-25.696026846173417,1.0,1.0,6.924004379024032e-12,1.1913834289573409e-10,1.1913834288154013e-10
39,"(1.0, 1.0, 1.0, 3.0, 4.0, 7.0, 11.0, 13.0)",12156253200.000008,1,-25.82849367092539,1.0,1.0,6.064956954465089e-12,8.226218914229258e-11,8.22621891355255e-11
40,"(1.0, 1.0, 1.0, 3.0, 6.0, 6.0, 7.0, 11.0)",8393603400.000004,1,-25.864480323713707,1.0,1.0,5.850579944925572e-12,1.1913834289573409e-10,1.1913834288154013e-10
41,"(1.0, 1.0, 1.0, 3.0, 6.0, 6.0, 9.0, 14.0)",6078126600.000004,1,-26.26473915120146,1.0,1.0,3.9207460898171575e-12,1.6452437828458515e-10,1.6452437825751688e-10
42,"(1.0, 1.0, 1.0, 3.0, 6.0, 7.0, 8.0, 13.0)",12156253200.000008,1,-25.492532195394453,1.0,1.0,8.48660400197041e-12,8.226218914229258e-11,8.22621891355255e-11
43,"(1.0, 1.0, 1.0, 3.0, 6.0, 8.0, 8.0, 14.0)",5065105500.0,1,-25.27710579998167,1.0,1.0,1.0526704518391063e-11,1.974292539415023e-10,1.97429253902524e-10
44,"(1.0, 1.0, 1.0, 3.0, 6.0, 8.0, 11.0, 14.0)",10130211000.0,1,-25.57754028702969,1.0,1.0,7.794986954214082e-12,9.871462697075115e-11,9.871462696100658e-11
45,"(1.0, 1.0, 1.0, 3.0, 6.0, 9.0, 14.0, 14.0)",4052084400.0,1,-26.11659188057955,1.0,1.0,4.5468252189806244e-12,2.467865674268779e-10,2.467865673659743e-10
46,"(1.0, 1.0, 1.0, 3.0, 6.0, 11.0, 11.0, 12.0)",5065105500.0,1,-26.0694947767406,1.0,1.0,4.766090366654012e-12,1.974292539415023e-10,1.97429253902524e-10
47,"(1.0, 1.0, 1.0, 3.0, 6.0, 12.0, 13.0, 14.0)",5922277199.999999,1,-25.934511354922,1.0,1.0,5.4548753095159605e-12,1.688539671868112e-10,1.6885396715829953e-10
48,"(1.0, 1.0, 1.0, 3.0, 7.0, 9.0, 9.0, 9.0)",1929564000.0,1,-26.81307972989857,1.0,1.0,2.2658305626142113e-12,5.182517915964435e-10,5.182517913278586e-10
49,"(1.0, 1.0, 1.0, 3.0, 7.0, 14.0, 14.0, 14.0)",987046199.9999998,1,-25.46237725688524,1.0,1.0,8.746414623163602e-12,1.0131238031208673e-09,1.0131238020944475e-09
50,"(1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 7.0, 8.0)",4352238800.000002,1,-25.871901219466388,3.0,9.0,5.807324098133429e-12,6.893004124681759e-10,2.0679012369293927e-09
51,"(1.0, 1.0, 1.0, 4.0, 4.0, 6.0, 7.0, 7.0)",6779448899.999999,1,-25.975166997045577,1.0,1.0,5.2375515039150585e-12,1.475046150137661e-10,1.475046149920085e-10
