,edge_sx,edge_dx,n_lambdas,n_lambdas_inferred_aritm,n_lambdas_inferred_geo,n_nonzeros,mean_aritm_lambda,mean_geom_lambda,mean_lambda,var_uniform_lambda,var_lambda,mean_count,var_count
0,-6.898959,-7.443894,103159,70965.00469645081,85395.23394877024,11455,0.4944972546694564,0.41093628270931565,0.2726043,0.025219635476226205,0.0028546406,0.3401739062999835,1.8178018135123544
1,-7.443894,-7.5360727,141107,169934.02361014887,170891.86058643478,11455,0.19845348967530668,0.19734117168759396,0.1951045,0.00014674984042487263,0.00014059732,0.23899593925177348,1.2557569854413542
2,-7.5360727,-7.59782,171268,205303.2667273588,205822.2494579131,11455,0.1657109530808374,0.16529311135993913,0.16451511,4.6102435970084896e-05,4.5282126e-05,0.19864189457458487,1.0632868025823743
3,-7.59782,-7.6444006,192583,231875.0418783383,232208.5552150413,11455,0.1461218064934191,0.14591193665807406,0.14554243,2.042969119680184e-05,2.032097e-05,0.17593453212381155,1.009865804264037
4,-7.6444006,-7.68316,216196,250314.69253443123,250563.9511121279,11455,0.1323893522368515,0.13225765259891767,0.1320381,1.1617971572382306e-05,1.1560061e-05,0.15328220688634386,0.8063765330810628
5,-7.68316,-7.71564,230784,274661.33841305337,274853.3944596585,11455,0.12192833615933629,0.1218431377419839,0.12171444,6.922981257351231e-06,6.8928957e-06,0.1451097129783694,0.7716974349264567
6,-7.71564,-7.7447205,253386,291449.8773770749,291613.23759914545,11455,0.11357012841414085,0.11350650701769445,0.11340835,4.815644215508314e-06,4.7982053e-06,0.13063073729408886,0.700931079836951
7,-7.7447205,-7.7703133,264813,308698.41347048414,308832.42524186784,11455,0.10662834197930605,0.10658207270244122,0.1065123,3.288363902458709e-06,3.2871258e-06,0.12429903365771318,0.6509218694253028
8,-7.7703133,-7.7937055,282123,321302.6414419258,321419.1677776133,11455,0.10077414818219718,0.10073761382644954,0.10069008,2.4540341335196426e-06,2.4470087e-06,0.11476909007773205,0.5860808641350513
9,-7.7937055,-7.8155713,302230,341096.2210598073,341204.308132045,11455,0.09565336109155906,0.09562305991568387,0.09558056,1.9319668245723205e-06,1.9318902e-06,0.1079542070608477,0.5645064291639669
10,-7.8155713,-7.8354154,310204,363094.8560202755,363189.6195499451,11455,0.09116350576487267,0.09113971935931946,0.09111074,1.4454461488212633e-06,1.4431608e-06,0.10670719913347346,0.5592864211985754
11,-7.8354154,-7.854535,333893,371603.631084149,371693.6643116288,11455,0.08716276508252241,0.0871416521451497,0.08711344,1.22669274823808e-06,1.2276204e-06,0.09700712503706277,0.5077193568599807
