,edge_sx,edge_dx,n_lambdas,n_lambdas_inferred_aritm,n_lambdas_inferred_geo,n_nonzeros,mean_aritm_lambda,mean_geom_lambda,mean_lambda,var_uniform_lambda,var_lambda,mean_count,var_count
0,-5.910814,-7.008254,135420,22809.623767072557,43570.520588270985,38393,8.086104439225988,4.233160345796988,1.7951827,15.821812829614053,0.5481181,1.3619923201890416,12.593529570757738
1,-7.008254,-7.171855,198263,171619.7028565828,174672.9614783011,38393,1.0087944281355532,0.9911608444418978,0.97295624,0.011755459560853861,0.011138285,0.8732289938112507,8.21975727962581
2,-7.171855,-7.281996,245515,232159.23658683925,234028.22094481674,38393,0.7290470217267884,0.7232247432240657,0.7177917,0.002818510225728184,0.002756009,0.689387613791418,6.51074150022497
3,-7.281996,-7.36813,291114,288466.8826373521,289886.42000256275,38393,0.5797857919456845,0.5769466537912381,0.5745791,0.0010947077403925976,0.0010831523,0.5745137643672238,5.1747911382597405
4,-7.36813,-7.4402585,334564,340866.3092682728,342042.25251931243,38393,0.4825029506525903,0.48084410270545075,0.47943756,0.0005326820939486406,0.0005281945,0.4915920421802704,4.425321757315949
5,-7.4402585,-7.502111,372265,401862.6814147974,402882.0153162388,38393,0.41315605473856865,0.41211072643606245,0.41128954,0.00028755824116000883,0.00028555954,0.44600486212778534,4.096514366731225
6,-7.502111,-7.557345,417760,451896.7076203008,452810.6928979855,38393,0.36086786482414746,0.36013946348378184,0.35956344,0.00017506090145098463,0.00017442714,0.39035570662581387,3.527551089481988
7,-7.557345,-7.6067195,455163,508233.31048934394,509054.66055027145,38393,0.31979210462122537,0.31927612611249145,0.31889632,0.00010991515755773576,0.000109724504,0.3570786729149777,3.2112086447488077
8,-7.6067195,-7.652281,500865,562141.5273164154,562915.0607877406,38393,0.28661287624337217,0.28621902525495346,0.2859292,7.52034702009606e-05,7.490645e-05,0.3216774979285836,2.8821963734064875
9,-7.652281,-7.694574,548422,618382.6282064562,619115.8290108333,38393,0.2589917515382233,0.25868503516681624,0.25845987,5.292664852661743e-05,5.2750118e-05,0.2920305895824748,2.5940052530621114
10,-7.694574,-7.7338085,590770,678967.0983443963,679659.8909873372,38393,0.23574927325684464,0.23550896871003116,0.2353329,3.77484994226537e-05,3.772959e-05,0.27094469929075615,2.4865226158459737
11,-7.7338085,-7.7708826,641491,746449.7858357251,747129.8484483989,38393,0.2158979787495935,0.2157014611779768,0.21555384,2.8272291281892242e-05,2.8244163e-05,0.251222542483059,2.2819255901034587
12,-7.7708826,-7.806203,697441,795997.1404248826,796655.3452561694,38393,0.1986162914047799,0.19845219258418784,0.19833438,2.17194899722899e-05,2.170096e-05,0.22668297390030123,2.0139106751571965
13,-7.806203,-7.839543,745646,867065.3904160348,867704.2084408156,38393,0.1835040375947377,0.18336893892206194,0.18327078,1.652135072267733e-05,1.653103e-05,0.21338544027594863,1.9185514877001872
14,-7.839543,-7.871269,795540,928762.2503316124,929381.883610942,38393,0.170248090879602,0.1701345838436767,0.17005454,1.2878609496055994e-05,1.2837903e-05,0.19875807627523442,1.7621745895610026
15,-7.871269,-7.90188,860045,995111.6608981984,995729.6783550021,38393,0.15845056006848515,0.15835221489078147,0.15827766,1.0385341733461607e-05,1.037038e-05,0.18333459295734525,1.631859419822053
16,-7.90188,-7.931256,916217,1082824.9844489275,1083444.3217813908,38393,0.14786969482560186,0.14778516697262012,0.14772789,8.33035689713922e-06,8.325008e-06,0.1747588180529285,1.5775118147009053
17,-7.931256,-7.9593515,967541,1149032.5997256278,1149633.7623990714,38393,0.13839555121236063,0.1383231818698094,0.1382705,6.675317594921801e-06,6.6743814e-06,0.1643558257479528,1.4808808848759225
18,-7.9593515,-7.986625,1031570,1215359.2510900423,1215958.4464302994,38393,0.12984473509249528,0.12978075070186684,0.12973425,5.537326166723168e-06,5.5341766e-06,0.1529784697112169,1.425301989832791
19,-7.986625,-8.013306,1106413,1292767.0725605122,1293377.0064372031,38393,0.1220219816455885,0.12196443822249052,0.12192778,4.679937929543684e-06,4.6711793e-06,0.14257424668726779,1.3006603166105877
20,-8.013306,-8.039269,1174928,1374387.6041541584,1375001.6756063758,38393,0.11484314870341042,0.11479186011201986,0.11475996,3.925885378700222e-06,3.9192228e-06,0.1343392956845015,1.2015076837971808
21,-8.039269,-8.064656,1250309,1450414.770793373,1451034.3271202508,38393,0.10824834603285147,0.10820212662480218,0.10817586,3.334737572741659e-06,3.3336883e-06,0.12557295836469226,1.1186669996552463
22,-8.064656,-8.089202,1309909,1515683.328443447,1516288.569711041,38393,0.10219812878662247,0.10215733541374601,0.10213279,2.778782883489447e-06,2.7772167e-06,0.1182524892950579,1.047203041896953
23,-8.089202,-8.113492,1406332,1637400.0726558615,1638040.3712701164,38393,0.09660986501815502,0.0965721008923255,0.09654715,2.4317826895456814e-06,2.4301808e-06,0.1124833965237227,1.0293624577889922
24,-8.113492,-8.137067,1473077,1700704.5853479733,1701331.046348629,38393,0.09142798892859191,0.09139432348202578,0.09137661,2.0515982631852488e-06,2.0503644e-06,0.10555592138089183,0.9449328844810165
25,-8.137067,-8.1602955,1562012,1803305.9930453924,1803950.8812973744,38393,0.08663088826992414,0.08659991888894862,0.08658356,1.7882836211999312e-06,1.7870523e-06,0.10001331615890274,0.9477415792727738
26,-8.1602955,-8.182935,1635010,1904376.3822680449,1905023.2921391868,38393,0.08217335683066346,0.0821454523132237,0.082128435,1.5284123584780093e-06,1.5295552e-06,0.09571134121503844,0.8678168500037308
27,-8.182935,-8.205409,1739759,2005872.7781935427,2006544.270319764,38393,0.07801392077364389,0.07798781333394768,0.07797373,1.3576019552390782e-06,1.3567377e-06,0.08994694092687551,0.7996260188923391
28,-8.205409,-8.227585,1834747,2108475.00356672,2109162.2169266627,38393,0.07410426954822363,0.07408012467987085,0.074068,1.1926308968575055e-06,1.1918326e-06,0.08515997028473135,0.784704926686307
29,-8.227585,-8.2494545,1931408,2215729.383537446,2216431.75214167,38393,0.07043955871128263,0.07041723700681941,0.07040529,1.048054588551864e-06,1.0468585e-06,0.0808089228169294,0.7371185929494688
