,edge_sx,edge_dx,n_lambdas,n_lambdas_inferred_aritm,n_lambdas_inferred_geo,n_nonzeros,mean_aritm_lambda,mean_geom_lambda,mean_lambda,var_uniform_lambda,var_lambda,mean_count,var_count
0,-5.910814,-6.827767,43373,9304.914392331446,14989.694459862392,15357,8.394381367374296,5.210846705991968,2.5605974,14.437571715857798,0.7877721,1.8008668987619025,16.433336117045318
1,-6.827767,-6.960591,58508,45140.419461156,45669.23701836795,15357,1.5742653889415175,1.5560365059617438,1.5333264,0.019020635644518436,0.01799286,1.2145860395159636,10.799085121246275
2,-6.960591,-7.0486403,69167,57929.18877405665,58227.08405555075,15357,1.2128600708364425,1.206654963744525,1.1994684,0.005004449966693222,0.0049596,1.0158023334827302,9.709828791902256
3,-7.0486403,-7.116862,78290,67977.75896442725,68187.54418703845,15357,1.0110806982614258,1.0079700159235951,1.0047219,0.0020935417986000246,0.0020779755,0.8779026695618853,8.483687209328677
4,-7.116862,-7.171855,84345,79186.17231915148,79344.93668964006,15357,0.8764156413608509,0.8746619872098461,0.8727123,0.0010235948506915305,0.001017999,0.8228110735668979,7.602785126497803
5,-7.171855,-7.220404,93876,88115.27440600136,88252.95393335022,15357,0.7775836875261826,0.7763706136311872,0.7751434,0.000628353798916624,0.00062531966,0.7298670586731433,7.232612155832079
6,-7.220404,-7.262869,100238,96315.21953909102,96430.34718081831,15357,0.6999724479954839,0.6991367548805282,0.69827247,0.00038974197597156326,0.0003883275,0.6725792613579681,6.131667145770751
7,-7.262869,-7.300593,105805,104842.14616726935,104941.04278703066,15357,0.6380830843854365,0.6374817537859241,0.6369053,0.0002556787229515075,0.0002543953,0.632276357450026,5.732072928872059
8,-7.300593,-7.3355055,114535,114920.64517396905,115013.4909088675,15357,0.5868136216770502,0.5863399107973744,0.58599365,0.00018524519728775843,0.0001857547,0.5887894530056315,5.321629245712309
9,-7.3355055,-7.368128,122166,122005.56500974593,122091.62518577663,15357,0.5428604834108126,0.5424778308849628,0.5421034,0.00013843581578895498,0.00013844008,0.5421475697002439,4.86929654866013
10,-7.368128,-7.3984094,128456,131294.8045325931,131374.60196937868,15357,0.5048866955245299,0.504580025410474,0.50433165,0.00010319109148156619,0.000103043014,0.5160444043096469,4.6389809155097295
11,-7.3984094,-7.426828,136186,139509.8389915243,139584.51627701547,15357,0.47185919269822496,0.471606749486151,0.4713939,7.939052430912167e-05,7.9076e-05,0.4833756773824035,4.371189861906464
12,-7.426828,-7.453302,140964,147738.8041298699,147807.4332905645,15357,0.4429303484985344,0.4427246894366937,0.44258368,6.07143280720736e-05,6.0665858e-05,0.46421781447745525,4.16481168707063
13,-7.453302,-7.478251,147288,159210.63256055137,159276.31543837357,15357,0.4174469941555129,0.41727484602514653,0.4171328,4.789860138769255e-05,4.7955597e-05,0.45123839009287925,4.121162580234962
14,-7.478251,-7.502107,153921,168443.9334995239,168507.47028715038,15357,0.39462388831110906,0.3944750929245233,0.3943478,3.913809598911982e-05,3.8992282e-05,0.43185790113109973,4.0274786520098855
15,-7.502107,-7.5249076,161839,176576.65630888013,176637.49589972154,15357,0.3739735556238363,0.3738447471961931,0.37373677,3.210843324967226e-05,3.204394e-05,0.4080289670598558,3.711100582431938
16,-7.5249076,-7.5467978,168798,182827.6077578264,182885.67138484344,15357,0.35520893587374525,0.35509616203526173,0.35501274,2.670127746187275e-05,2.6649515e-05,0.38473204658822974,3.479382050915693
17,-7.5467978,-7.5674458,173796,191741.92490966592,191796.10441287386,15357,0.3382202407248848,0.3381246986143011,0.33805656,2.153980766235819e-05,2.1542017e-05,0.37314437616515916,3.3437720894687635
18,-7.5674458,-7.587637,182641,201610.30602557803,201664.78107338693,15357,0.3226819168249585,0.32259475181403025,0.32253245,1.8748515957901526e-05,1.8754345e-05,0.35619603484431206,3.204873553896269
19,-7.587637,-7.606715,185840,209883.4911709151,209934.12192725588,15357,0.3084092018809055,0.3083348214466515,0.3082709,1.52912294262309e-05,1.5272164e-05,0.34831037451571245,3.125806443486859
20,-7.606715,-7.6253004,194274,218726.76294529947,218776.83490636223,15357,0.29531822777514455,0.2952506376081664,0.2951872,1.3305549407784535e-05,1.32692485e-05,0.33248916478787693,2.96512757697732
21,-7.6253004,-7.6434255,202615,229037.2112203745,229087.07922248184,15357,0.28309373684092476,0.2830321125925679,0.28299376,1.1629026648914078e-05,1.1631708e-05,0.3200108580312415,2.858523880147631
22,-7.6434255,-7.6610365,210344,235089.4736853562,235137.79723254824,15357,0.2716795397036036,0.27162370640409794,0.27158388,1.0111470954115617e-05,1.0066296e-05,0.30364070284866695,2.73813263962727
23,-7.6610365,-7.6782084,219822,243563.16716600602,243610.7666027212,15357,0.26101237202532507,0.26096137246542317,0.26092035,8.873477083126307e-06,8.84562e-06,0.289202172666976,2.557421687897673
24,-7.6782084,-7.694571,222229,256388.58137326577,256434.07610429553,15357,0.25112272806823827,0.25107817563923784,0.25104722,7.458090035462041e-06,7.457389e-06,0.28972366342826544,2.5767885466350977
25,-7.694571,-7.710636,231890,265767.02560722467,265812.48491857224,15357,0.24191864981406563,0.2418772768318069,0.24184766,6.672026763324185e-06,6.6480875e-06,0.2772607701927638,2.6026296780422893
26,-7.710636,-7.7261744,236824,274040.4304091597,274084.28043984505,15357,0.23327214858243522,0.23323482797850653,0.23320697,5.803440700732276e-06,5.806009e-06,0.2699304124581968,2.4495508413555944
27,-7.7261744,-7.741548,248521,286515.1008892711,286559.98136317806,15357,0.22511553422423897,0.22508027706163122,0.22506166,5.290875641277531e-06,5.280371e-06,0.2595313876895715,2.3875949518367072
28,-7.741548,-7.7563615,252992,295326.48832233157,295369.43852091365,15357,0.21742377517426562,0.21739215919406482,0.2173795,4.5823773239914465e-06,4.580901e-06,0.2538064444725525,2.2532563653948463
29,-7.7563615,-7.770877,261946,305789.2756288809,305831.97601086204,15357,0.21020357848654758,0.2101742297794168,0.21014944,4.112515059696192e-06,4.1131966e-06,0.24538645369656342,2.235273871444085
30,-7.770877,-7.7850842,269866,308858.4804849768,308899.7983207689,15357,0.20336498418749166,0.2033377824830289,0.2033194,3.687669487720604e-06,3.689961e-06,0.2327488457234331,2.023344223619372
31,-7.7850842,-7.799271,283426,323181.5034574588,323224.6126665474,15357,0.19682438295350385,0.19679813203341306,0.19678181,3.444317728951938e-06,3.4504328e-06,0.22443247973015884,2.0275057685757996
32,-7.799271,-7.813004,289427,336238.77835643257,336280.80487296905,15357,0.19059669534031298,0.19057287561866237,0.19055688,3.026451027309205e-06,3.0255267e-06,0.22142370960553093,2.0108139190407943
33,-7.813004,-7.826549,298685,341065.7080673905,341107.17945769744,15357,0.18470341201101562,0.18468095599791526,0.1846663,2.764966735691712e-06,2.7671326e-06,0.21091116058724074,1.8872907595883495
34,-7.826549,-7.839537,301675,355595.1127674121,355634.8681446882,15357,0.1791447568112864,0.1791247307451382,0.1791085,2.391576152229283e-06,2.3916082e-06,0.2111643324770034,1.8847077103777823
35,-7.839537,-7.852379,311364,362119.9673460682,362159.54471466393,15357,0.1738954094730168,0.17387640590727274,0.17385568,2.202968185839095e-06,2.1970563e-06,0.2022423915417325,1.776087133908305
36,-7.852379,-7.8650537,321357,375084.2704416518,375124.2060920513,15357,0.16886072008677505,0.1688427432071867,0.16883236,2.023618165403023e-06,2.0233285e-06,0.19709233033666607,1.7423294438069392
37,-7.8650537,-7.877567,331885,386121.52105729876,386161.5899143339,15357,0.16403385086272118,0.16401683040006823,0.16400333,1.8611914562361083e-06,1.862163e-06,0.19084020067191948,1.7008293662263816
38,-7.877567,-7.8898273,340438,397721.0956279705,397760.71787755535,15357,0.15942076167694463,0.1594048812520453,0.15939417,1.6876955595061478e-06,1.6890509e-06,0.1862453662634606,1.6750424821907817
39,-7.8898273,-7.9018707,350415,404705.6469733082,404744.55071053543,15357,0.15502131109165818,0.15500641056158126,0.1549962,1.5398591303870731e-06,1.5411869e-06,0.17903913930625115,1.592116326293693
40,-7.9018707,-7.9138007,361012,423783.9852512693,423823.9588119246,15357,0.15080088494167226,0.15078666194130677,0.15077639,1.4298265965153143e-06,1.4299525e-06,0.1770218164493147,1.5859973263386635
41,-7.9138007,-7.925593,371329,434911.93542048347,434952.0163516067,15357,0.14673775264019645,0.14672423072160395,0.1467138,1.3227230163371148e-06,1.3219085e-06,0.17186376501700648,1.565910548985252
42,-7.925593,-7.9370704,376345,450306.9214828112,450346.23561510094,15357,0.14285811949807117,0.14284564833130114,0.14283943,1.1876864451418072e-06,1.1876938e-06,0.17093358487557958,1.5529576385628983
43,-7.9370704,-7.948323,383608,452288.7842942715,452326.7379713663,15357,0.13916772245019216,0.13915604521257496,0.1391481,1.0833509231719064e-06,1.082942e-06,0.16408416925611563,1.4550788462449766
44,-7.948323,-7.9593444,391435,472907.6273064754,472945.7000292259,15357,0.13564382618516851,0.13563290668682684,0.13562343,9.874019449122891e-07,9.863624e-07,0.16387650567782647,1.4853419183013385
45,-7.9593444,-7.9703794,405145,477576.3251648474,477614.8669638162,15357,0.13224273623320865,0.13223206472085103,0.13222446,9.407820355536349e-07,9.3929356e-07,0.15588493008675905,1.500062770996657
46,-7.9703794,-7.981197,412851,488085.9723580564,488123.82527637697,15357,0.128956789509669,0.12894678919711014,0.12894031,8.597054657026018e-07,8.584997e-07,0.15245693967072865,1.3859868458675042
47,-7.981197,-7.992031,429718,499650.2481532017,499689.11758518463,15357,0.12578198496306958,0.12577220073095977,0.1257679,8.204215136748234e-07,8.189539e-07,0.14625172787735213,1.3243790524439099
48,-7.992031,-8.00274,440553,516167.6284949161,516206.858647106,15357,0.12270044943475916,0.12269112457356357,0.12268486,7.627474553989717e-07,7.6321356e-07,0.14376022862175494,1.3109049074242367
49,-8.00274,-8.013298,449651,528520.175976475,528559.2224829969,15357,0.11973242058940187,0.11972357553941966,0.1197197,7.060000847661763e-07,7.053477e-07,0.14073359116292414,1.2961368652969056
50,-8.013298,-8.023742,460630,538196.0208776278,538234.9249295739,15357,0.1168719157332861,0.11686346813750564,0.11685706,6.581673475102014e-07,6.5769945e-07,0.13655211340989515,1.192420971422872
51,-8.023742,-8.034105,473253,557747.6757285084,557787.3769454634,15357,0.11410536120455057,0.11409723961218735,0.11409096,6.177895000208423e-07,6.181293e-07,0.1344777529144031,1.237590816854878
52,-8.034105,-8.044412,486843,563560.4293215441,563600.1025418167,15357,0.11142194649044979,0.1114141032210707,0.111408226,5.825877217526651e-07,5.8278295e-07,0.12897997917193016,1.1552019032169651
53,-8.044412,-8.054585,497051,577540.321392497,577579.9396028294,15357,0.10882530218576097,0.10881783748102339,0.108813666,5.415472585923629e-07,5.4121244e-07,0.12644778905987514,1.1259521256567189
54,-8.054585,-8.06465,507469,589321.6337416932,589361.1932316017,15357,0.10631885274970726,0.10631171634569773,0.10630697,5.058058819471461e-07,5.0553655e-07,0.12346764038788577,1.0906755122457856
55,-8.06465,-8.074563,516341,592322.2301701257,592360.8093772475,15357,0.1039012160362844,0.10389444916975607,0.103890985,4.6870851053833683e-07,4.685394e-07,0.11919061240536777,1.0403466936399326
56,-8.074563,-8.084309,524506,609456.3182874789,609494.6806638625,15357,0.10157577851346372,0.10156938520377551,0.1015658,4.329233144364398e-07,4.330008e-07,0.11802724849668068,1.0390108123730988
57,-8.084309,-8.09413,545290,641223.4235462213,641264.4119819311,15357,0.09931327780855717,0.0993069298874399,0.09930296,4.202751369167167e-07,4.1990313e-07,0.11678556364503292,1.0828785815546902
58,-8.09413,-8.103923,561833,652098.8292277089,652140.2784028989,15357,0.0970957118186919,0.09708954054342696,0.09708601,3.9945688157245734e-07,3.9965866e-07,0.1126954094900086,1.0270108332061851
59,-8.103923,-8.1134815,568022,659515.4519931967,659555.3881604744,15357,0.09495607693608066,0.09495032733287732,0.094947636,3.6396215677353253e-07,3.6371222e-07,0.11025101140448786,1.0026311136026316
60,-8.1134815,-8.12294,578671,669475.8009553762,669515.495328426,15357,0.09289954903709138,0.09289404118942934,0.09289081,3.4110759718478054e-07,3.4127143e-07,0.10747730575750297,0.9525301189202809
61,-8.12294,-8.132396,594818,682706.9090055359,682747.3633891039,15357,0.09089845024476938,0.09089306429826981,0.09089054,3.263731238016588e-07,3.2577935e-07,0.10432939151135305,0.9445219057778681
62,-8.132396,-8.14171,603836,701500.3656488314,701540.7019436832,15357,0.08895504985558086,0.0889499352312838,0.08894632,3.033057197649736e-07,3.031142e-07,0.10334262945568001,0.9703482621716935
63,-8.14171,-8.150942,616467,721452.4839065847,721493.231700366,15357,0.08707572764852274,0.08707080987017404,0.0870676,2.854713572367427e-07,2.8553387e-07,0.10190488704180435,0.9387870447098495
64,-8.150942,-8.160287,641302,730524.1613201394,730566.4421840764,15357,0.08523332053450516,0.0852283877341186,0.08522594,2.8028452681408614e-07,2.8033014e-07,0.09709154189445846,0.9277370024480533
65,-8.160287,-8.169355,641212,749845.7344795376,749886.6028318785,15357,0.08344516361546028,0.08344061590606676,0.08343761,2.529826757247399e-07,2.53067e-07,0.09758239084733286,0.8791775141798523
66,-8.169355,-8.178455,660622,768632.2409253316,768674.4244590731,15357,0.08171788360631849,0.08171339906905446,0.08171047,2.443045590878242e-07,2.4421516e-07,0.09507857746184656,0.8759093997339538
67,-8.178455,-8.187447,673516,772877.8997218781,772919.3087920366,15357,0.08003334035331974,0.08002905257558149,0.08002675,2.2877065504399491e-07,2.2861171e-07,0.09184043140771711,0.7996352251094915
68,-8.187447,-8.196435,690775,800255.7155892388,800298.564219343,15357,0.07839369188860762,0.07838949462716494,0.0783882,2.1935334120833991e-07,2.1911303e-07,0.09081828381166082,0.821088653997431
69,-8.196435,-8.2054,708580,820173.0390261827,820216.7307333268,15357,0.0767898931117991,0.07678580263010597,0.07678384,2.0939952398097914e-07,2.0938812e-07,0.08888340060402496,0.7923297786369329
70,-8.2054,-8.214347,725962,826414.5003451189,826458.3374237098,15357,0.07522254265146519,0.07521855269048991,0.07521643,2.0008469983067237e-07,1.9985364e-07,0.08563120383711544,0.7817099740943269
71,-8.214347,-8.223167,734428,851635.2792175494,851679.1917515267,15357,0.07369938931800257,0.07369558938139631,0.07369407,1.866971917126254e-07,1.8667897e-07,0.08546106629921517,0.8006898377699785
72,-8.223167,-8.231991,753515,868156.2461746504,868201.0396171953,15357,0.07221741509809652,0.07221368915619329,0.07221205,1.7938063448992564e-07,1.7937867e-07,0.0832047139074869,0.7588347906237516
73,-8.231991,-8.240657,760682,879217.6367472023,879261.3972812892,15357,0.07077769757920864,0.07077417499780442,0.07077246,1.6620933135769382e-07,1.6598736e-07,0.08180685227204008,0.7445611193507448
74,-8.240657,-8.249449,791716,899748.0053625628,899794.0982372107,15357,0.06936942302511605,0.06936586950534285,0.06936434,1.643328684155823e-07,1.6440151e-07,0.07883508732929485,0.7183541926957925
75,-8.249449,-8.258157,803836,912794.6354780456,912840.5082480975,15357,0.06798571944663076,0.06798230297546541,0.06798028,1.5484360933860017e-07,1.5478359e-07,0.07720107086520137,0.6887575738649652
76,-8.258157,-8.26688,826430,933744.0814385173,933791.1716276115,15357,0.06663496051738765,0.06663160018053034,0.06663041,1.4927351192002317e-07,1.492182e-07,0.0752876831673584,0.710089905198658
77,-8.26688,-8.275498,838307,953585.4747734824,953632.4158795534,15357,0.06531768954932499,0.06531447438534525,0.065313295,1.4000127602600426e-07,1.3978003e-07,0.07429974937582533,0.6664744130853939
