,edge_sx,edge_dx,n_lambdas,n_lambdas_inferred_aritm,n_lambdas_inferred_geo,n_nonzeros,mean_aritm_lambda,mean_geom_lambda,mean_lambda,var_uniform_lambda,var_lambda,mean_count,var_count
0,-2.9951787,-4.6168447,3112,304.25414605339495,1007.6171233782351,1852,441.69981491859596,133.3730807883002,52.60085,59103.4492733865,3455.1108,43.184125964010285,4828.929143901871
1,-4.6168447,-4.6839743,740,2280.9595252136933,2287.7751144109893,1852,19.14106739614754,19.084043586705725,19.056768,0.7265804815261544,0.7119772,59.0,-1904.0567567567568
2,-4.6839743,-4.7077565,295,1745.2005450555555,1745.854759097638,1852,17.194012507625466,17.187569494904267,17.194477,0.07384032340576717,0.07886234,101.7186440677966,-8465.167296753803
3,-4.7077565,-4.920096,3731,1741.5450007091106,1793.844687488986,1852,13.489746168163485,13.096451528858596,12.97936,3.485403011246259,3.3861487,6.2967032967032965,52.367877097440214
4,-4.920096,-4.85009,0,1669.1310561815133,1674.5552614864564,1852,11.153108637609318,11.116981582008282,nan,0.26818426253473454,nan,inf,
5,-4.85009,-5.190619,10369,1781.0625399408577,1919.7011608883508,1852,8.775660399055393,8.141892247836712,7.8511353,3.573935354721838,3.2162604,1.507377760632655,12.771693085284173
6,-5.190619,-5.195699,251,2464.6866200211794,2464.728777041091,1852,5.469255154184334,5.4691616073808955,5.468781,0.0003410846409072138,0.00036912868,53.70517928286853,-2410.3418993349314
7,-5.195699,-5.3072495,5974,2578.480218297144,2599.7735568816697,1852,4.821444784327346,4.781954938764634,4.7722807,0.12641225731396524,0.123931184,2.0810177435554067,12.774152563126748
8,-5.3072495,-5.248786,0,2473.475572444976,2479.080676596935,1852,4.50863559124479,4.49844174305311,nan,0.030605592998848002,nan,inf,
9,-5.248786,-5.5338492,21398,2843.6272433369163,2998.149561590936,1852,3.6537840971757003,3.4654708801407015,3.3987446,0.44688326922362603,0.42292792,0.4855593980745864,3.1467911886159943
10,-5.5338492,-5.6772375,17792,4433.09815032789,4493.640887908171,1852,2.145001007770756,2.116101450293355,2.1075075,0.04104799180130648,0.040118273,0.5344536870503597,3.262639382297557
11,-5.6772375,-5.4622746,0,3752.0179083597277,3867.509163308892,1852,2.368592106183506,2.297861394695863,nan,0.11002052541373404,nan,inf,
12,-5.4622746,-5.389552,0,2578.6705830038036,2587.713900123901,1852,3.211344657429547,3.200121929863847,nan,0.023984714268593475,nan,inf,
13,-5.389552,-5.538125,13070,2528.963613663711,2566.0506336555045,1852,2.9755271919861785,2.932522024820747,2.9158516,0.08469221473012674,0.08214008,0.5757459831675593,2.7581110540676446
14,-5.538125,-5.438499,0,2542.2110480071788,2558.9518019168872,1852,2.790090935038675,2.771838060680431,nan,0.03384039704944498,nan,inf,
15,-5.438499,-5.379155,0,2046.5760298297273,2051.3545027181817,1852,3.3363041003505165,3.3285324359843433,nan,0.01726562420526843,nan,inf,
16,-5.379155,-5.6504054,27450,2388.3856700727124,2505.7977505428,1852,2.736157766262702,2.607951898186677,2.5602334,0.22838207287473633,0.21485619,0.23806921675774134,1.0702811536789858
17,-5.6504054,-5.5202317,0,2707.053099705751,2737.510811203767,1852,2.2419212983519547,2.2169775458644767,nan,0.037073889712278936,nan,inf,
18,-5.5202317,-5.3867745,0,1951.5138758980436,1974.5946926476274,1852,3.038666582512074,3.0031479483259336,nan,0.0715323333804478,nan,inf,
19,-5.3867745,-5.4730177,6941,1790.0224888966206,1798.8534077675974,1852,3.186552144110757,3.170908744075341,3.162928,0.0331507679611352,0.033166125,0.8217836046679153,2.7273514362446636
20,-5.4730177,-5.4830446,965,1940.864131531443,1940.9934550363203,1852,2.8384264052801633,2.8382372880782922,2.8389764,0.0003578515845511991,0.00034148613,5.7088082901554404,-9.385310746597227
21,-5.4830446,-5.5675597,8630,2057.017498035544,2066.7626935980848,1852,2.5575864109198223,2.5455268842892544,2.54001,0.020513710227459046,0.020666568,0.6096176129779838,1.9730940600374074
22,-5.5675597,-5.901764,55146,3050.295747507898,3278.8864113756977,1852,1.6896722241477193,1.5718751287384716,1.5407089,0.1280669349032381,0.11958487,0.09346099445109346,0.3461774568345676
23,-5.901764,-5.534409,0,2790.707483453655,3044.04020624027,1852,1.7812687390109807,1.6330270506314175,nan,0.1687136574946075,nan,inf,
24,-5.534409,-5.662989,15737,2204.9299019936607,2229.133314097494,1852,2.173311721006257,2.149714406803045,2.1417558,0.03400393528220327,0.03333814,0.3045053059668298,0.9825767664616478
25,-5.662989,-5.5372972,0,2200.410502634095,2223.4895216847704,1852,2.165050564109311,2.1425781203548233,nan,0.03226764777561317,nan,inf,
26,-5.5372972,-5.552175,1573,1921.1441416048317,1921.4259728688562,1852,2.4344867720821086,2.434129685994008,2.4337833,0.0005795050684926518,0.0005808366,2.9732994278448825,1.446203799090581
27,-5.552175,-5.7188935,22062,2241.232544158448,2282.644786257006,1852,2.0113932450917056,1.974902107914936,1.966193,0.04848815018456145,0.047768056,0.20433324267972078,0.6300818485178051
28,-5.7188935,-5.518528,0,2029.6337530807864,2083.8750583874676,1852,2.1077694404256,2.0529061868567005,nan,0.07608940065250992,nan,inf,
29,-5.518528,-5.405822,0,1414.4740841788694,1426.3986108285665,1852,2.9685945094127364,2.943777404242482,nan,0.04890931852894658,nan,inf,
30,-5.405822,-5.545056,12589,1414.2501703198388,1432.4592671522753,1852,2.8919918737397277,2.8552295299334465,2.8408668,0.07042710972421684,0.0680804,0.3248868059416951,0.8722863582253131
31,-5.545056,-5.841642,44722,2242.54685845024,2374.5547425674217,1852,1.830508015710694,1.7287451522644546,1.7019197,0.12073326470108346,0.11462917,0.09178927597155763,0.27213016014795305
32,-5.841642,-5.777585,0,3002.3057036884793,3010.4738705761933,1852,1.3263139709949985,1.3227153502042721,nan,0.003177617330170459,nan,inf,
33,-5.777585,-5.7717166,0,2732.9108938815107,2732.973269246164,1852,1.4336362040824997,1.4336034838279637,nan,3.12722708012096e-05,nan,inf,
34,-5.7717166,-5.459725,0,1728.0714080603461,1840.7531407329257,1852,2.2018766020038942,2.0670886909284194,nan,0.19180163809601583,nan,inf,
35,-5.459725,-5.819684,48549,1769.6460840866534,1923.7951447363453,1852,2.126413882322777,1.9560294713789375,1.9088099,0.23186156867735297,0.2120728,0.07750932048033946,0.20967130995556002
36,-5.819684,-6.125301,83734,3983.836860873442,4232.994068777439,1852,0.9659030061678628,0.9090492302795427,0.893548,0.03553270475076188,0.03347787,0.0459550481285977,0.12906543309529173
37,-6.125301,-6.221852,38589,6536.618056174451,6577.043487722669,1852,0.575679956769922,0.5721415719729346,0.57104945,0.0013538114156528712,0.001347573,0.09751483583404597,0.2606973923334755
38,-6.221852,-6.156029,0,6523.53191939821,6542.272459078815,1852,0.5538410855715251,0.5522545908319949,nan,0.0005849383240104342,nan,inf,
39,-6.156029,-6.1448774,0,5920.667771263794,5921.155757150332,1852,0.6034792253234852,0.603429490211481,nan,2.0008580048685162e-05,nan,inf,
40,-6.1448774,-5.598415,0,2483.3941504118247,2991.3031343228786,1852,1.3811742285980655,1.1466574419166737,nan,0.19760632021352376,nan,inf,
41,-5.598415,-5.8571224,41711,2036.6976285293456,2127.708723981544,1852,1.66838707543133,1.5970231083328839,1.5783601,0.07767754163902675,0.07476599,0.08146532089856393,0.19537246384854545
42,-5.8571224,-6.064559,54983,3515.7894943472647,3616.5285910883176,1852,0.9605239464506017,0.9337683679098921,0.9263682,0.01689429559864492,0.01637867,0.061418984049615336,0.1461103994118991
43,-6.064559,-5.906854,0,3720.515673749693,3782.008896940229,1852,0.8963811182224763,0.8818064924961244,nan,0.008638806299153211,nan,inf,
44,-5.906854,-5.914774,1885,3205.724068939418,3205.8573282890943,1852,1.0478132015620707,1.0477696466276105,1.0478398,3.042432453621904e-05,3.0204126e-05,1.7819628647214854,1.1551123275334376
45,-5.914774,-5.8523545,0,2928.92208796464,2936.488247338485,1852,1.1185002200849086,1.115618290987282,nan,0.0021461903815349946,nan,inf,
