,edge_sx,edge_dx,n_lambdas,n_lambdas_inferred_aritm,n_lambdas_inferred_geo,n_nonzeros,mean_aritm_lambda,mean_geom_lambda,mean_lambda,var_uniform_lambda,var_lambda,mean_count,var_count
0,-8.518978,-8.8744135,20766646,14328588.360797284,15545104.778094754,2461702,0.5246584527871592,0.4836001498422436,0.3529072,0.013799129051191782,0.0009390468,0.3620042928453637,1.9181338237306738
1,-8.8744135,-8.909768,22828066,23005667.354881417,23024727.596097242,2461702,0.3086392100898305,0.308383713569039,0.30720356,5.254907008115048e-05,5.122989e-05,0.31104040964311214,1.5242986336341044
2,-8.909768,-8.933036,23880136,24028621.759037536,24037243.696122106,2461702,0.2883606920731494,0.28825725975885624,0.2878487,1.9880309740322217e-05,1.9707933e-05,0.2901537076673265,1.376151922811779
3,-8.933036,-8.951061,24677813,24784791.012248423,24790128.193792824,2461702,0.274933203860081,0.27487401221693525,0.27466843,1.0847997511005838e-05,1.0802122e-05,0.27612503587736886,1.2828766987283597
4,-8.951061,-8.966095,25303636,25396962.86936122,25400767.101779804,2461702,0.26464833746355165,0.2646087015037057,0.26448596,6.992536914900736e-06,6.9737316e-06,0.2656244343698273,1.212768475319109
5,-8.966095,-8.979186,25832833,25942539.564713974,25945486.112847704,2461702,0.2562070295168993,0.2561779328816931,0.2560973,4.969559445342552e-06,4.961553e-06,0.2572950864506421,1.1592364563111173
6,-8.979186,-8.990935,26339377,26388305.424341016,26390719.66802367,2461702,0.2489781702291356,0.24895539351132892,0.24889901,3.780430755933126e-06,3.7763568e-06,0.24944067583678992,1.1059819988299873
7,-8.990935,-9.001696,26801945,26791599.80740765,26793655.67405882,2461702,0.24260518396526903,0.2425865689650174,0.24254552,3.010614867629576e-06,3.0084354e-06,0.24251154160640206,1.059235853576522
8,-9.001696,-9.0117,27226192,27226337.97581128,27228143.846182078,2461702,0.23687181161600307,0.23685610140862753,0.23682486,2.4807879177356906e-06,2.4794092e-06,0.2368730816266924,1.0249631491572913
9,-9.0117,-9.021125,27652876,27637392.31425256,27639019.437609788,2461702,0.231630391435254,0.23161675523441122,0.2315923,2.10564371061198e-06,2.1042629e-06,0.23150069453896946,0.9913529161956848
10,-9.021125,-9.030087,28055341,27972820.08851792,27974309.28688295,2461702,0.22677709933879256,0.22676502697331968,0.22674608,1.8251087687286452e-06,1.8239824e-06,0.22611006581598847,0.9566740363997009
11,-9.030087,-9.038681,28446590,28371186.311683085,28372574.88425197,2461702,0.22223846866084584,0.2222275921632917,0.22221255,1.6114113411508224e-06,1.6107487e-06,0.22164937871287912,0.9306902587786547
12,-9.038681,-9.0469885,28865055,28696858.544056788,28698171.09225128,2461702,0.217955250760204,0.2179452822932259,0.21793322,1.448420023156872e-06,1.4483967e-06,0.21668522717174798,0.8989971043148729
13,-9.0469885,-9.055049,29197570,29025158.418327976,29026408.21181199,2461702,0.21388592994138161,0.21387672062965374,0.21386746,1.313133198215778e-06,1.3132745e-06,0.21262293403183896,0.8725584459273892
14,-9.055049,-9.062925,29577835,29355052.91221394,29356259.842928518,2461702,0.20999693028777033,0.20998829663530616,0.2099814,1.2086688297769667e-06,1.2080945e-06,0.20841522038377724,0.8484094058265453
15,-9.062925,-9.070657,29949356,29714664.201503273,29715841.36179539,2461702,0.20625684875449274,0.20624867811683942,0.20624325,1.1234777300204387e-06,1.1233238e-06,0.2046405605516192,0.8255401914666054
16,-9.070657,-9.078277,30290328,30008138.2639321,30009292.984655242,2461702,0.20264329451283947,0.20263549704784423,0.20263125,1.0533823968345115e-06,1.0530179e-06,0.20075543586058228,0.8013937859574999
17,-9.078277,-9.085825,30663732,30376391.750984274,30377538.80090848,2461702,0.19913510628871833,0.1991275869860496,0.1991245,9.982192441327226e-07,9.981748e-07,0.19726907344481096,0.7806439930768341
18,-9.085825,-9.093329,31015559,30698662.343119495,30699808.127263788,2461702,0.19571370676828886,0.19570640230367767,0.19570482,9.530381116059392e-07,9.528847e-07,0.19371403236678728,0.7599574210527535
19,-9.093329,-9.100819,31370882,31053495.054623913,31054649.373868547,2461702,0.19236424078810815,0.1923570904982289,0.19235678,9.169563471407785e-07,9.1675963e-07,0.19041804435080914,0.742705487139023
20,-9.100819,-9.108327,31754254,31401085.160649262,31402258.35355389,2461702,0.18907133207740529,0.1890642683451487,0.18906541,8.903495460231923e-07,8.900301e-07,0.18696849247348088,0.7218106476884257
21,-9.108327,-9.115877,32121039,31756644.023873944,31757843.79992644,2461702,0.18582177624196378,0.18581475610172465,0.18581629,8.696468583458153e-07,8.694939e-07,0.18371373354392428,0.7038114581571772
22,-9.115877,-9.123499,32471039,32131286.734402016,32132523.77347856,2461702,0.18260426507345706,0.18259723516777546,0.18259957,8.55777367158823e-07,8.557101e-07,0.1806936328708176,0.6871432244875417
23,-9.123499,-9.13122,32831519,32489957.184843197,32491240.799187135,2461702,0.1794072539658267,0.17940016621790042,0.17940374,8.477121827826913e-07,8.478934e-07,0.1775407954776628,0.6681596553864354
24,-9.13122,-9.139092,33261553,32899804.81789684,32901156.180864852,2461702,0.17621542231297072,0.17620818454312465,0.17621303,8.502536515803356e-07,8.503396e-07,0.17429892705250413,0.6510486495462999
25,-9.139092,-9.147129,33604829,33339046.737120245,33340473.80236024,2461702,0.1730175144323352,0.1730101088003031,0.1730165,8.541844168715189e-07,8.538483e-07,0.17164911031090205,0.637753041611649
26,-9.147129,-9.155393,34036851,33770364.012551956,33771892.34458449,2461702,0.16980130856358733,0.169793624280563,0.16980138,8.698478592009388e-07,8.692393e-07,0.16847187185442036,0.6208768793527653
27,-9.155393,-9.163923,34439046,34223070.15212732,34224720.68702838,2461702,0.16655022400571198,0.16654219188880984,0.16655153,8.918124078926971e-07,8.9167065e-07,0.16550574600701773,0.6049262345584265
28,-9.163923,-9.172778,34839915,34684509.0717379,34686311.44482175,2461702,0.16325034292077661,0.16324186009248634,0.163253,9.231924320927496e-07,9.2282517e-07,0.16252215311087873,0.588237590085128
29,-9.172778,-9.18204,35291274,35201339.827875204,35203341.174072504,2461702,0.1598813291630245,0.15987223974481965,0.15988557,9.687913034352424e-07,9.685416e-07,0.15947389714522633,0.5728573019589055
30,-9.18204,-9.191823,35829258,35745088.36879012,35747355.558800265,2461702,0.15641491615059738,0.15640499591090998,0.1564213,1.0344161688835163e-06,1.0340796e-06,0.15604746824508617,0.5553103405590004
31,-9.191823,-9.202239,36343772,36343772.665785395,36346385.91675375,2461702,0.1528207886141854,0.15280980102728353,0.15283003,1.119380887851267e-06,1.1188179e-06,0.15282079141372557,0.5390045504231561
32,-9.202239,-9.213467,36914103,36986362.31124259,36989452.34709658,2461702,0.14906156365434625,0.14904911130517867,0.14907467,1.237392738390722e-06,1.2363938e-06,0.14935335148195258,0.5218467690169495
33,-9.213467,-9.2257595,37561593,37695504.22490856,37699279.461767346,2461702,0.14508170436903783,0.1450671757678102,0.14510028,1.4051524587204166e-06,1.4045517e-06,0.14559893665851711,0.5028312803064026
34,-9.2257595,-9.239497,38292373,38517483.809829764,38522301.45767121,2461702,0.14080179865269266,0.14078418980130833,0.14082858,1.6528019408666607e-06,1.651519e-06,0.14162953546911286,0.4840566331518488
35,-9.239497,-9.255263,39063678,39472598.24209192,39479101.03607838,2461702,0.13610482307372124,0.1360824045889588,0.13614504,2.0340084052958273e-06,2.0314526e-06,0.13752957414813832,0.4642544822077743
