,filename,N_emp,D,count2_sum,unique_seqs,f1,f2,F_all,Q_threshold,label
0,TWIST_T0_cleaned.csv,1100000000,240537189,1006634905,98468089,42320482,23345912,2.99702531519194,0.1,Original_TwistT0
1,TWIST_T0_100.counts,11000000000,270877,287559,262765,254878,7666,0.0613735248461218,0.1,Pre-seq
2,TWIST_T0_10.counts,1100000000,139501,147413,135674,131973,3578,0.0566074541524289,0.1,Pre-seq
3,TWIST_T0_1.counts,110000000,131784,141390,127154,122690,4305,0.0727890488492535,0.1,Pre-seq
4,TWIST_T0_01.counts,11000000,90990,113468,80864,71734,8232,0.246967050121408,0.1,Pre-seq
5,IAKOV_83_S7_R1_001.counts,11000000000,3087107,3214887,3025212,2964926,58793,0.0389797010929627,0.1,Forward-seq (FS)
6,IAKOV_83_S7_R2_001.counts,11000000000,5329095,5695323,5155047,4988273,160051,0.0645590073339399,0.1,Reverse-seq
7,IAKOV_84_S8_R1_001.counts,1100000000,1042054,1079956,1023704,1005785,17552,0.0355582906010359,0.1,Forward-seq (FS)
8,IAKOV_84_S8_R2_001.counts,1100000000,1757721,1860845,1708776,1661484,45852,0.0572959321714379,0.1,Reverse-seq
9,IAKOV_85_S9_R1_001.counts,110000000,1225262,1491882,1104308,994182,100312,0.21664520337752,0.1,Forward-seq (FS)
10,IAKOV_85_S9_R2_001.counts,110000000,2065267,2788075,1753346,1483503,233204,0.34836934530541,0.1,Reverse-seq
11,IAKOV_86_S10_R1_001.counts,11000000,911104,2795968,425228,183918,112012,2.06805751722394,0.1,Forward-seq (FS)
12,IAKOV_86_S10_R2_001.counts,11000000,1550120,6771716,532412,168994,110875,3.36729979371839,0.1,Reverse-seq
13,IAKOV_83_S7_R1_001_0.05.counts,11000000000,1991586,2046390,1964792,1938511,25803,0.0259618406843072,0.05,FS Q_thresh = 0.05
14,83_S7_R1_001_0.005.counts,11000000000,655162,661730,651933,648730,3185,0.00951315613752302,0.005,FS Q_thresh = 0.005
15,IAKOV_84_S8_R1_001_0.05.counts,1100000000,675362,692102,667217,659224,7874,0.0242590804183487,0.05,FS Q_thresh = 0.05
16,84_S8_R1_001_0.005.counts,1100000000,216966,218868,216022,215085,930,0.00859684580059472,0.005,FS Q_thresh = 0.005
17,IAKOV_85_S9_R1_001_0.05.counts,110000000,805845,925479,750018,697755,48957,0.147828263573461,0.05,FS Q_thresh = 0.05
18,85_S9_R1_001_0.005.counts,110000000,277673,292989,270271,263089,6977,0.0549414737193992,0.005,FS Q_thresh = 0.005
19,IAKOV_86_S10_R1_001_0.05.counts,11000000,592011,1419991,338057,184495,89958,1.39812636897778,0.05,FS Q_thresh = 0.05
20,86_S10_R1_001_0.005.counts,11000000,200693,305091,158697,124684,27479,0.520030758732519,0.005,FS Q_thresh = 0.005
