,mean,variance,F,R,N_0,sat_frac,uniques
ArayaT0_rep1,,,1.359920172850588,3588061.0,9969046.668271895,0.514453808108469,1336842.0
ArayaT0_rep2,,,1.512036437242165,4931094.0,9630357.610014897,0.5819280681813714,1615935.0
TwistT0,,,3.9369069914574646,240537294.0,81901570.15514863,0.8637091473951689,98468090.0
DalkaraT0,,,5.5503323121165,13653491.0,3000548.1058259984,0.9054449777057856,1252032.0
HBreastCancer,4.5192341804504395,27.6608404640497,6.120691993282078,75820168,14806625.373966986,0.9146692192925642,14512602
HLungCancer,8.226066291332245,72.63469893542633,8.829821735324582,138010491,17626262.21454821,0.9416726769275857,15587403
ByrneT0,,,8.922473368689328,12195473.0,1539351.7191484843,0.9422969031345749,3071451.0
MBrain,10.331051051616669,124.65595599342853,12.066144613032531,173326275,15662751.66835202,0.9576656442852699,16020053
MBrainCoronal,18.609355926513672,548.4899044033216,29.47387897621222,312213184,10964898.188294984,0.9828894407684258,16429852
PBMCs,4.584604263305664,267.8160970615404,58.41640448775297,76916896,1339632.7528033652,0.9914038132306998,10546968
HPBMC2,10.867763638496399,707.1794797160306,65.07129739287116,182330818,2845748.8051472935,0.992286370584724,14974774
