,edge_sx,edge_dx,n_lambdas,n_lambdas_inferred_aritm,n_lambdas_inferred_geo,n_nonzeros,mean_aritm_lambda,mean_geom_lambda,mean_lambda,var_uniform_lambda,var_lambda,mean_count,var_count
0,-6.9402723,-7.587268,376881,182711.09845893964,235787.01184244492,19192,0.8571783614731869,0.6642265779450662,0.41141176,0.09785259884308141,0.010420156,0.4155582266020309,3.725066885256875
1,-7.587268,-7.7018085,567045,551422.8683338977,556224.3376317897,19192,0.27881324629232623,0.27640645976511674,0.2723437,0.0004454317693934295,0.00042317985,0.2711319207470307,2.4017478224420783
2,-7.7018085,-7.7768087,693624,694197.0861248181,696786.6095047665,19192,0.22304616814850733,0.2222172439709331,0.22095709,0.000123029869231671,0.00012071749,0.22323045338684935,1.996818799606829
3,-7.7768087,-7.8350267,810951,809067.2169727922,810885.2558867538,19192,0.1910484033432268,0.19062006477225552,0.19002424,5.4494442072466514e-05,5.3986114e-05,0.19060461112940238,1.708745725269612
4,-7.8350267,-7.8832693,912079,910809.489336009,912214.6999808331,19192,0.168891521005279,0.1686313540038679,0.16829433,2.927077143293009e-05,2.9038732e-05,0.16865644313705283,1.5069373559363974
5,-7.8832693,-7.9254713,1021239,1009269.6650481005,1010461.1814517167,19192,0.15213476171671347,0.1519553673298007,0.15174034,1.8184020755510257e-05,1.8084635e-05,0.15035168065457744,1.3415128595694963
6,-7.9254713,-7.962885,1113126,1104255.6587194994,1105280.2180228876,19192,0.13877492842346073,0.13864628851687882,0.13849972,1.1895813143681842e-05,1.1849455e-05,0.13766905094301993,1.225478680424623
7,-7.962885,-7.9967217,1201720,1198976.4980921883,1199886.3833304464,19192,0.12782402344321525,0.12772709327245782,0.12762013,8.25687112683299e-06,8.232867e-06,0.127532203841161,1.1357509815129243
8,-7.9967217,-8.028095,1301937,1286065.7621520944,1286904.7926519215,19192,0.1185662541430496,0.11848895184062265,0.118409544,6.108304408277475e-06,6.095089e-06,0.1171208745123612,1.04016933274871
9,-8.028095,-8.056918,1375447,1384372.3005260283,1385134.571633266,19192,0.11061619763831793,0.11055532302499226,0.11049639,4.487910266343693e-06,4.482169e-06,0.11133398815076118,0.9939146917754893
10,-8.056918,-8.084225,1475990,1473715.800958546,1474444.1252234785,19192,0.10368824158674966,0.10363702319125816,0.10358814,3.5396224689272014e-06,3.5318724e-06,0.10352847919023841,0.921990747688248
11,-8.084225,-8.110289,1580073,1575668.9452502204,1576378.389691661,19192,0.0975046188878225,0.09746073722188676,0.09742247,2.851801541948908e-06,2.8470351e-06,0.09723284936835197,0.8715031718074375
12,-8.110289,-8.134809,1654401,1664273.4273884583,1664936.6098320058,19192,0.0919836833784093,0.09194704416731311,0.0919165,2.246358917873992e-06,2.2442593e-06,0.09253258430090407,0.8247919076449494
13,-8.134809,-8.158661,1772694,1759372.0503180153,1760035.470465631,19192,0.08699922223519063,0.08696642912515037,0.086939864,1.9016249160950135e-06,1.8979468e-06,0.08634541550882442,0.7693373054348677
14,-8.158661,-8.181191,1836476,1849719.758851824,1850342.0813257038,19192,0.08247195245116067,0.08244421479659772,0.082423724,1.5247958929876581e-06,1.5240084e-06,0.08306669948314054,0.738587476772823
15,-8.181191,-8.203297,1960824,1942803.478199975,1943432.6703090626,19192,0.07833988445450682,0.07831452168383889,0.07829561,1.3243965923354175e-06,1.3228712e-06,0.07761991897283999,0.6903441236705857
16,-8.203297,-8.224528,2041891,2061112.77055352,2061728.560103816,19192,0.07452527692540994,0.07450301798810285,0.07448759,1.1057371578212409e-06,1.1048843e-06,0.07522683630027265,0.6735245817774292
17,-8.224528,-8.245283,2153139,2140025.5796308876,2140636.5479853568,19192,0.07100756245456177,0.0709872958784218,0.07097269,9.592498692963235e-07,9.585696e-07,0.07057509988904571,0.6268464548601184
18,-8.245283,-8.265441,2247668,2250861.8244219213,2251467.997419088,19192,0.06773938690757203,0.06772114912349735,0.067709714,8.235000022586588e-07,8.2219117e-07,0.06783564120679744,0.6043352328341718
19,-8.265441,-8.285253,2365472,2362785.2470091996,2363399.892779419,19192,0.06469229490639564,0.06467547048089257,0.06466475,7.255127770852989e-07,7.2485244e-07,0.06461881603333289,0.5776871404497881
