,edge_sx,edge_dx,n_lambdas,n_lambdas_inferred_aritm,n_lambdas_inferred_geo,n_nonzeros,mean_aritm_lambda,mean_geom_lambda,mean_lambda,var_uniform_lambda,var_lambda,mean_count,var_count
0,-6.9688935,-7.588428,376138,189922.67272460336,240317.26539239602,12067,0.10157291766830198,0.08027305057962096,0.051290773,0.0012910983180977563,0.00016120265,0.051287027633474945,0.10188181451999702
1,-7.588428,-7.702369,563159,550946.5551569004,555693.7283526757,12067,0.03479829362857189,0.03450101921580862,0.0339968,6.866970843570393e-06,6.526491e-06,0.03404367150307462,0.06787304247990897
2,-7.702369,-7.776941,687359,688530.9723706784,691070.0656085504,12067,0.02787238449698717,0.027769977249847408,0.027612789,1.8993936969493801e-06,1.8639498e-06,0.02791990793748245,0.055681512931047346
3,-7.776941,-7.8350444,805946,802776.0399492218,804572.8544407412,12067,0.023889601888483207,0.023836250370801573,0.023760859,8.487488835607545e-07,8.404304e-07,0.02379563891377338,0.04738735254832415
4,-7.8350444,-7.8827744,897803,902632.0829700823,903995.2332675606,12067,0.021133749132017363,0.021101881180333577,0.021059852,4.4865434204271334e-07,4.4534727e-07,0.021247422875619707,0.041918643801841474
5,-7.8827744,-7.924755,1008654,1006801.0331342542,1007977.2024185342,12067,0.019053417079124113,0.019031184389857656,0.019004557,2.82241036765571e-07,2.80553e-07,0.019018414639707968,0.037914061464056535
6,-7.924755,-7.9624124,1114292,1098030.9144363434,1099063.013625602,12067,0.01738020282406754,0.017363881564029234,0.017345592,1.890224120303205e-07,1.8849241e-07,0.017126570055245843,0.033983153910344586
7,-7.9624124,-7.996906,1221504,1194879.575781802,1195821.890076215,12067,0.015992406588335152,0.015979804483075736,0.015965912,1.3430572309937008e-07,1.3395949e-07,0.015643829246568167,0.03104865973990043
8,-7.996906,-8.027999,1287907,1287102.1838377563,1287926.9473058027,12067,0.014827105601745761,0.01481761061054089,0.0148078725,9.382543990218787e-08,9.359401e-08,0.014817840108020222,0.029619542668359238
9,-8.027999,-8.0566025,1361181,1398027.4053409037,1398785.5224732144,12067,0.013840930389545245,0.013833428848896694,0.013826156,6.9200110249936e-08,6.909094e-08,0.014215596603243801,0.028728676205241794
10,-8.0566025,-8.084001,1476893,1472550.5188810227,1473283.1557912899,12067,0.012976125270404978,0.012969672479379721,0.012963712,5.580760362097836e-08,5.570295e-08,0.012937971809738416,0.025849388706331144
11,-8.084001,-8.110099,1579496,1552234.2835989448,1552935.0191536509,12067,0.012200477853182803,0.01219497259474592,0.01219023,4.476775313335139e-08,4.471875e-08,0.0119899005758799,0.023563804696494318
12,-8.110099,-8.134346,1632337,1661903.3250306188,1662550.9110237479,12067,0.011512703363565083,0.011508219010399197,0.011504373,3.441131537643513e-08,3.4402817e-08,0.011721231583919252,0.02342943747284101
13,-8.134346,-8.158206,1768434,1762442.6079063378,1763107.6111306432,12067,0.01089226957739335,0.010888161266395632,0.010884878,2.9826927856860475e-08,2.976368e-08,0.010855366951777674,0.021811732595407418
